Cas9_type,Score
NmeCas9,378.0
NmeCas9,155.0
NmeCas9,34.0
NmeCas9,16.0
NmeCas9,19.0
NmeCas9,1557.0
NmeCas9,337.0
NmeCas9,187.0
NmeCas9,20.0
NmeCas9,12.0
NmeCas9,10.0
NmeCas9,9.0
SpCas9,472.0
SpCas9,381.0
SpCas9,305.0
SpCas9,239.0
SpCas9,218.0
SpCas9,188.0
SpCas9,186.0
SpCas9,182.0
SpCas9,117.0
SpCas9,98.0
SpCas9,90.0
SpCas9,82.0
SpCas9,74.0
SpCas9,53.0
SpCas9,51.0
SpCas9,51.0
SpCas9,51.0
SpCas9,50.0
SpCas9,49.0
SpCas9,44.0
SpCas9,34.0
SpCas9,34.0
SpCas9,33.0
SpCas9,30.0
SpCas9,29.0
SpCas9,28.0
SpCas9,28.0
SpCas9,26.0
SpCas9,24.0
SpCas9,24.0
SpCas9,24.0
SpCas9,23.0
SpCas9,23.0
SpCas9,22.0
SpCas9,22.0
SpCas9,22.0
SpCas9,21.0
SpCas9,21.0
SpCas9,19.0
SpCas9,18.0
SpCas9,17.0
SpCas9,17.0
SpCas9,16.0
SpCas9,16.0
SpCas9,14.0
SpCas9,14.0
SpCas9,14.0
SpCas9,13.0
SpCas9,13.0
SpCas9,12.0
SpCas9,12.0
SpCas9,12.0
SpCas9,11.0
SpCas9,11.0
SpCas9,10.0
SpCas9,10.0
SpCas9,10.0
SpCas9,10.0
SpCas9,9.0
SpCas9,9.0
SpCas9,9.0
SpCas9,9.0
SpCas9,8.0
SpCas9,8.0
SpCas9,8.0
SpCas9,8.0
SpCas9,8.0
SpCas9,8.0
SpCas9,8.0
SpCas9,6.0
SpCas9,6.0
SpCas9,5.0
SpCas9,5.0
SpCas9,5.0
SpCas9,4.0
SpCas9,4.0
SpCas9,4.0
SpCas9,4.0
SpCas9,3.0
SpCas9,3.0
SpCas9,3.0
SpCas9,3.0
NmCas9,256.0
NmCas9,41.0
NmCas9,3.0
NmCas9,3.0
SpCas9-NmCas9,177.0
SpCas9-NmCas9,8.0
SpCas9-NmCas9,3.0
SpCas9-NmCas9,3.0
SpCas9,1704.0
SpCas9,1809.0
SpCas9,16.0
SpCas9,8.0
SpCas9,5.0
SaCas9,1809.0
SaCas9,12.0
SaCas9,6.0
SaCas9,662.0
SaCas9,116.0
SaCas9,116.0
SaCas9,1248.0
SaCas9,380.0
SaCas9,374.0
SaCas9,357.0
SaCas9,111.0
SaCas9,71.0
SaCas9,69.0
SaCas9,54.0
SaCas9,48.0
SaCas9,46.0
SaCas9,36.0
SaCas9,34.0
SaCas9,26.0
SaCas9,26.0
SaCas9,22.0
SaCas9,20.0
SaCas9,20.0
